Player,Club,Pos,Price,Pts
M Mancienne,Wolves,DEF,1.5,-7
M Melchiot,Wigan,DEF,1.5,0
M Noble,West Ham,MID,2.5,43
M Olsson,Blackburn,MID,2,6
M Owen,Man Utd,STR,3,26
M Petrov,Bolton,MID,2.5,31
M Richards,Man City,DEF,4,40
M Rodriguez,Liverpool,MID,3,64
M Salgado,Blackburn,DEF,2,6
M Schwarzer,Fulham,GK,3,23
M Silvestre,Arsenal,DEF,3.5,0
M Skrtel,Liverpool,DEF,4.5,49
M Taylor,Bolton,MID,3,15
M Turner,Sunderland,DEF,2,44
M Upson,West Ham,DEF,2.5,6
M Williamson,Newcastle,DEF,1,9
Michel,Birmingham,MID,2,0
N Anelka,Chelsea,STR,7.5,82
N Bendtner,Arsenal,STR,4.5,24
N de Jong,Man City,MID,2,56
N Kalinic,Blackburn,STR,2,15
N Kranjcar,Tottenham,MID,4,3
N Milijas,Wolves,MID,1.5,33
N Onuoha,Sunderland,DEF,3,42
N Reo-Coker,Aston Villa,MID,2.5,30
N Shorey,West Brom,DEF,3.5,20
N Vidic,Man Utd,DEF,6.5,85
N Zigic,Birmingham,STR,2,29
Nani,Man Utd,MID,4.5,96
O Hargreaves,Man Utd,MID,3,0
P Bardsley,Sunderland,DEF,1.5,44
P Barrera,West Ham,MID,2,14
P Cech,Chelsea,GK,5.5,80
P Chimbonda,Blackburn,DEF,2,-7
P Crouch,Tottenham,STR,5,69
P Da Silva,Sunderland,DEF,1.5,-2
P Evra,Man Utd,DEF,5.5,64
P Ferreira,Chelsea,DEF,4,21
P Jagielka,Everton,DEF,3.5,31
P Jones,Blackburn,DEF,1.5,37
P Konchesky,Liverpool,DEF,2.5,33
P Lovenkrands,Newcastle,STR,1,16
P Neville,Everton,DEF,2.5,30
P Odemwingie,West Brom,STR,2,44
P Robinson,Blackburn,GK,3,48
P Robinson,Bolton,DEF,1.5,2
P Scholes,Man Utd,MID,3.5,54
P Senderos,Fulham,DEF,3,0
P Vieira,Man City,MID,2,10
P Zabaleta,Man City,DEF,3,71
R Babel,Liverpool,MID,3,23
R Bednar,West Brom,STR,2,3
R Carvalho,Chelsea,DEF,5,0
R Delap,Stoke,MID,2,22
R Dunne,Aston Villa,DEF,5,15
R Ferdinand,Man Utd,DEF,6,53
R Fuller,Stoke,STR,2,34
R Gardner,Bolton,MID,2,5
R Giggs,Man Utd,MID,3.5,23
R Green,West Ham,GK,2.5,37
R Huth,Stoke,DEF,2.5,45
R Johnson,Birmingham,DEF,2.5,63
R Keane,Tottenham,STR,5,8
R Kovac,West Ham,MID,1.5,3
R Meireles,Liverpool,MID,3.5,23
R Nelsen,Blackburn,DEF,2.5,35
R Pavlyuchenko,Tottenham,STR,4,62
R Santa Cruz,Man City,STR,3.5,0
R Shawcross,Stoke,DEF,3,35
R Taylor,Newcastle,MID,1.5,19
R van der Vaart,Tottenham,MID,4.5,84
R van Persie,Arsenal,STR,7,3
R Zubar,Wolves,DEF,2,-1
Rafael,Man Utd,DEF,3.5,46
Ramires,Chelsea,MID,3,18
Robinho,Man City,STR,4,0
S Ameobi,Newcastle,STR,1,48
S Bassong,Tottenham,DEF,3,12
